loc_rowid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,ra,dec,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,rowupdate,pl_facility,fst_logg
1,11 Com,b,11 Com b,Radial Velocity,0,1,326.03,1.29,0.231,324.5360372,19.4,284.1036885,256.6982931,0,0,0,185.179276,17.792868,93.37,4.74,V (Johnson),4742,2.7,19,14-05-2014,Xinglong Station,2.31
2,11 UMi,b,11 UMi b,Radial Velocity,0,1,516.21997,1.53,0.08,100.4716734,14.74,255.0886574,180.9790975,0,0,0,229.274536,71.823898,125.72,5.016,V (Johnson),4213,2.78,29.79,06-09-2018,Thueringer Landessternwarte Tautenburg,1.93
3,14 And,b,14 And b,Radial Velocity,0,1,185.84,0.83,0,47.11966813,4.8,196.9939711,60.65001298,0,0,0,352.822571,39.236198,75.59,5.227,V (Johnson),4813,2.2,11,14-05-2014,Okayama Astrophysical Observatory,2.63
4,14 Her,b,14 Her b,Radial Velocity,0,1,1773.40002,2.93,0.37,311.7300823,4.66,146.9505976,322.05399,0,0,0,242.601303,43.817646,17.94,6.61,V (Johnson),5338,0.9,0.93,06-09-2018,W. M. Keck Observatory,4.45
5,16 Cyg B,b,16 Cyg B b,Radial Velocity,0,1,798.5,1.66,0.68,314.9792245,1.78,302.4503503,304.623516,0,0,0,295.466553,50.517525,21.15,6.25,V (Johnson),5750,1.08,1.13,06-09-2018,Multiple Observatories,4.36
6,18 Del,b,18 Del b,Radial Velocity,0,1,993.3,2.6,0.08,295.092525,10.3,311.9420302,233.9900686,0,0,0,314.608063,10.839286,76.38,5.506,V (Johnson),4979,2.3,8.5,14-05-2014,Okayama Astrophysical Observatory,2.82
7,1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,Imaging,0,1,44.47281785,330,225.5102535,15.85496942,8,99.36071302,92.10786251,0,0,0,242.376268,-21.083036,145,303.4799145,157.4131391,4060,0.85,66.34496347,01-04-2015,Gemini Observatory,54.56114954
8,24 Boo,b,24 Boo b,Radial Velocity,0,1,30.3506,0.19,0.042,99.23486855,0.91,328.831366,182.7105693,0,0,0,217.157547,49.844852,96.25,5.58,V (Johnson),4893,0.99,10.64,26-04-2018,Okayama Astrophysical Observatory,2.42
9,24 Sex,b,24 Sex b,Radial Velocity,0,2,452.8,1.333,0.09,201.3542696,1.99,65.07492075,325.6971357,0,0,0,155.86821,-0.902244,72.21,6.441,V (Johnson),5098,1.54,4.9,14-05-2014,Lick Observatory,3.5
10,24 Sex,c,24 Sex c,Radial Velocity,0,2,883,2.08,0.29,270.7037102,0.86,128.7452043,28.86648762,0,0,0,155.86821,-0.902244,72.21,6.441,V (Johnson),5098,1.54,4.9,14-05-2014,Lick Observatory,3.5
