DOY,Dew Point (°C),Surface Air Temp (°C),Surface pressure (mB),Water Partial Pressure (mB),Relative Humidity (%),Sol,Solar_Longitude_LS,Relative Humidity,Vapour Pressure (mB)
1,-15.9,6.6,899.9,1.9,19,35.0,316.49,0.19,10.0
2,-19.5,5.4,906.9,1.4,15,36.0,317.08,0.15,9.333333333333334
3,-14.2,7.4,909.0,2.1,20,37.0,317.67,0.2,10.5
4,-10.3,10.9,907.2,2.9,22,38.0,318.25,0.22,13.181818181818182
5,-11.3,12.3,902.9,2.7,18,39.0,318.84,0.18,15.000000000000002
6,-3.1,9.0,900.5,5.0,43,40.0,319.69,0.43,11.627906976744184
7,-2.9,11.2,901.9,5.1,37,41.0,320.01,0.37,13.783783783783784
8,4.3,14.9,907.5,8.4,49,42.0,320.59,0.49,17.142857142857142
9,1.7,12.0,906.8,7.0,49,43.0,321.17,0.49,14.285714285714285
10,0.7,16.1,904.8,6.5,35,44.0,321.75,0.35,18.571428571428573
11,0.4,15.3,905.8,6.4,36,44.0,322.04,0.36,17.777777777777782
12,-0.5,12.5,904.6,6.0,41,105.89739537212596,227.85151244744569,0.41,14.634146341463413
13,3.9,5.4,904.6,8.1,90,47.0,323.49,0.9,9.0
14,-0.3,10.2,904.6,6.1,48,48.0,324.06,0.48,12.708333333333336
15,3.4,6.7,902.2,7.8,79,49.0,324.64,0.79,9.873417721518988
16,5.2,8.4,901.8,8.9,80,50.0,325.21,0.8,11.125
17,8.0,11.3,907.4,10.8,80,50.0,325.41,0.8,13.5
18,3.7,12.7,904.3,8.0,54,105.89739537212596,227.85151244744569,0.54,14.814814814814813
19,2.5,14.2,910.8,7.4,45,53.0,326.93,0.45,16.444444444444443
20,2.9,15.3,911.7,7.6,43,54.0,327.5,0.43,17.674418604651166
21,2.5,16.2,901.7,7.4,40,55.0,328.07,0.4,18.5
22,-8.2,12.3,900.5,3.4,23,56.0,328.64,0.23,14.782608695652172
23,-15.8,9.1,913.0,1.9,16,56.0,328.73,0.16,11.875
24,-9.6,13.4,909.7,3.1,19,105.89739537212596,227.85151244744569,0.19,16.315789473684212
25,-5.3,14.3,910.1,4.2,25,59.0,330.34,0.25,16.8
26,-11.0,16.0,909.0,2.8,15,59.0,330.39,0.15,18.666666666666668
27,-6.9,16.6,911.9,3.8,19,105.89739537212596,227.85151244744569,0.19,20.0
28,-4.5,18.8,906.0,4.5,20,105.89739537212596,227.85151244744569,0.2,22.5
29,-5.5,18.1,905.3,4.2,20,62.0,332.31,0.2,21.0
30,-4.2,17.1,900.0,4.6,23,63.0,332.59,0.23,20.0
31,-2.5,18.3,900.1,5.2,24,64.0,333.15,0.24,21.66666666666667
32,0.6,13.8,900.5,6.5,41,65.0,333.71,0.41,15.853658536585368
33,2.6,14.9,900.3,7.4,44,66.0,334.27,0.44,16.81818181818182
34,7.4,9.9,892.7,10.3,84,67.0,334.82,0.84,12.261904761904766
35,4.9,10.9,895.0,8.7,66,68.0,335.38,0.66,13.18181818181818
36,2.5,9.7,892.3,7.4,61,69.0,335.94,0.61,12.131147540983608
37,-6.6,6.2,893.8,3.8,40,70.0,336.49,0.4,9.499999999999998
38,-13.5,6.9,902.7,2.2,22,71.0,337.04,0.22,10.0
39,-9.8,6.7,908.9,3.0,30,72.0,337.6,0.3,10.0
40,-9.0,9.7,902.2,3.2,26,73.0,338.15,0.26,12.307692307692307
41,-3.9,9.8,898.6,4.7,38,74.0,339.04,0.38,12.36842105263158
42,-0.4,5.4,896.8,6.0,66,75.0,339.25,0.66,9.09090909090909
43,-12.9,9.6,906.4,2.4,19,76.0,339.8,0.19,12.63157894736842
44,-12.7,10.0,905.0,2.4,19,77.0,340.62,0.19,12.63157894736842
45,-4.0,12.3,898.5,4.7,32,78.0,340.89,0.32,14.6875
46,6.9,11.1,892.1,10.0,75,79.0,341.44,0.75,13.333333333333336
47,1.7,10.5,899.6,7.0,55,80.0,341.96,0.55,12.727272727272727
48,-3.9,9.9,899.6,4.7,38,105.89739537212596,227.85151244744569,0.38,12.36842105263158
49,-5.9,7.2,896.0,4.0,39,82.0,343.07,0.39,10.256410256410255
50,-12.3,7.2,901.4,2.5,24,83.0,343.61,0.24,10.416666666666668
51,-13.8,6.9,903.2,2.2,22,83.0,343.83,0.22,10.0
52,-3.2,5.8,891.1,4.9,53,85.0,344.69,0.53,9.245283018867925
53,-5.9,3.0,889.4,4.0,52,86.0,345.23,0.52,7.6923076923076925
54,-8.8,7.5,902.3,3.2,31,87.0,345.76,0.31,10.322580645161292
55,-7.5,11.2,909.1,3.6,26,88.0,346.3,0.26,13.846153846153848
56,-6.6,13.0,904.7,3.9,25,89.0,346.84,0.25,15.6
57,-7.2,18.4,901.5,3.7,17,90.0,347.37,0.17,21.764705882352942
58,-3.0,16.4,902.3,5.0,26,91.0,347.91,0.26,19.23076923076923
59,4.7,17.1,903.3,8.6,44,92.0,348.44,0.44,19.545454545454547
60,0.8,19.2,900.8,6.6,29,93.0,348.97,0.29,22.75862068965517
61,1.0,17.8,901.0,6.7,32,94.0,349.5,0.32,20.9375
62,8.2,16.0,899.0,10.9,60,94.0,349.57,0.6,18.166666666666668
63,5.6,15.5,899.7,9.2,52,105.89739537212596,227.85151244744569,0.52,17.69230769230769
64,0.3,17.4,901.6,6.4,31,97.0,351.09,0.31,20.645161290322584
65,1.9,18.3,901.3,7.1,33,98.0,351.62,0.33,21.51515151515151
66,8.3,12.3,899.6,11.0,76,98.0,351.64,0.76,14.473684210526313
67,4.4,13.8,898.6,8.5,53,99.0,352.14,0.53,16.037735849056602
68,-4.3,9.8,897.9,4.6,37,100.0,352.67,0.37,12.432432432432432
69,-7.5,11.6,897.9,3.6,26,101.0,353.2,0.26,13.846153846153848
70,-3.2,10.0,898.9,4.9,40,102.0,353.72,0.4,12.25
71,-1.8,12.6,898.8,5.5,37,103.0,354.24,0.37,14.864864864864865
72,0.0,15.1,891.5,6.2,36,104.0,354.76,0.36,17.222222222222225
73,-12.6,12.6,903.3,2.5,16,105.0,355.29,0.16,15.625
74,-12.3,12.4,910.2,2.5,17,106.0,355.81,0.17,14.705882352941178
75,-9.5,15.4,906.4,3.1,17,107.0,356.33,0.17,18.235294117647054
76,-7.0,18.6,905.7,3.8,17,108.0,356.84,0.17,22.352941176470583
77,-0.6,21.5,904.5,6.0,23,109.0,357.36,0.23,26.08695652173913
78,-3.2,22.4,902.5,5.0,18,110.0,357.88,0.18,27.777777777777782
79,-0.6,21.5,900.0,6.0,23,111.0,358.4,0.23,26.08695652173913
80,0.9,15.9,900.1,6.6,36,112.0,358.91,0.36,18.33333333333333
81,0.3,13.2,901.4,6.3,41,113.0,359.43,0.41,15.365853658536587
82,0.2,16.7,904.7,6.3,33,114.0,359.94,0.33,19.09090909090909
83,1.9,16.8,902.4,7.1,37,115.0,0.45,0.37,19.18918918918919
84,-6.7,18.3,908.0,3.8,18,116.0,0.94,0.18,21.11111111111111
85,-14.2,22.0,904.9,2.2,8,117.0,1.45,0.08,27.5
86,-9.7,21.7,901.2,3.1,11,118.0,1.97,0.11,28.181818181818183
87,3.5,19.6,901.9,8.0,34,119.0,2.49,0.34,23.529411764705877
88,-2.2,17.3,904.3,5.3,26,120.0,2.98,0.26,20.384615384615387
89,-9.8,18.6,906.2,3.0,14,121.0,3.51,0.14,21.428571428571427
90,-8.5,18.7,905.5,3.3,15,122.0,4.02,0.15,22.0
91,-7.0,20.1,905.3,3.7,15,122.0,227.85151244744569,0.15,24.66666666666667
92,-6.9,23.0,900.6,3.8,13,105.89739537212596,227.85151244744569,0.13,29.23076923076923
93,3.8,19.0,895.9,8.1,36,105.89739537212596,227.85151244744569,0.36,22.5
94,1.4,19.6,901.7,6.9,30,105.89739537212596,227.85151244744569,0.3,23.000000000000004
95,1.2,19.5,900.2,6.8,29,127.0,227.85151244744569,0.29,23.448275862068968
96,3.0,16.5,898.8,7.7,40,128.0,227.85151244744569,0.4,19.25
